現在，身体的に疲れを感じていますか？（%の値は疲労の度合いです）,現在，精神的に疲れを感じていますか？（%の値は疲労の度合いです）,明後日に予定(会社や大学などの外せない予定)はありますか？（%の値は予定の無さ具合です）,あなたは明日遊びに行くとするならば，どの遊びを選択しますか？次のジャンルのうち，明後日の予定や現在の身体的・精神的状態を考慮した後，当てはまるものを1つ選択してください．
3,3,4,1
5,5,3,7
4,4,3,6
2,3,3,6
4,4,2,6
3,3,2,6
2,1,0,1
5,5,0,7
4,4,1,5
4,4,3,5
3,4,3,5
3,0,0,7
3,3,4,7
1,1,0,5
3,3,2,3
4,2,2,7
4,5,3,6
4,4,1,6
2,1,1,3
1,1,1,5
4,2,0,6
1,4,3,5
2,3,1,6
2,2,0,3
1,1,2,2
3,3,3,5
3,5,4,2
3,3,3,0
2,2,2,1
1,2,2,0
3,3,0,5
4,4,3,5
1,3,4,5
1,3,3,5
1,1,0,6
0,0,0,2
5,5,3,3
2,2,4,3
4,5,4,7
2,2,4,3
1,1,1,1
3,3,4,2
