上記で選択した遊び(普段よくする遊び)を行うときは，1日でお金を平均で幾らほど使われますか？,上記で選択した遊び(普段よくする遊び)を行うときは，自然に囲まれた中で遊びたい気分のときが多いですか？それとも街や駅前に出て遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，エキサイティングな遊びをしたい気分のときが多いですか？それとも，ゆったりのんびり遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，遠出したい気分のときが多いですか？それとも近場で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，色々な場所を転々としたい気分のときが多いですか？それとも1か所にとどまって遊びたい気分の時が多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，室内で遊びたい気分のときが多いですか？それとも室外で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，何人の友達と遊びに行くことが多いですか？平均してお答えください．,上記で選択した遊び(普段よくする遊び)を行うときは，人(友達など)とどのくらい会話をしますか？（%の値は～したいという気持ちの度合いです）,label
3,3,2,3,4,3,2,4,[1 1 0 1 0 0 0 0]
3,1,1,3,3,4,1,3,[0 0 0 1 0 0 1 1]
5,3,3,1,4,5,1,5,[0 0 1 0 0 1 1 0]
1,2,2,3,3,3,1,3,[0 0 0 1 1 0 1 0]
1,4,2,2,3,3,1,4,[1 1 0 1 0 0 0 0]
1,3,3,2,3,3,1,3,[0 0 0 1 0 1 1 0]
0,3,2,2,5,1,0,3,[0 1 1 0 0 0 1 0]
0,3,1,1,1,1,2,3,[0 0 0 0 0 1 0 0]
3,4,5,3,4,1,1,3,[0 0 0 0 0 1 0 1]
5,3,3,4,4,4,3,5,[0 1 0 1 0 1 0 0]
1,3,1,0,1,0,3,3,[1 1 0 0 0 1 0 0]
3,4,5,5,3,4,5,5,[0 0 0 1 0 1 1 0]
2,3,2,1,2,1,1,2,[0 1 0 0 0 1 0 1]
1,4,2,1,2,1,3,4,[0 1 1 0 0 1 0 0]
2,4,4,3,4,1,1,3,[0 1 0 0 0 0 1 1]
1,2,4,2,3,3,0,0,[0 1 1 0 0 0 0 1]
1,1,4,2,2,4,2,4,[1 0 1 1 0 0 0 0]
0,3,1,1,4,4,1,3,[0 1 0 0 0 0 1 1]
1,3,3,3,3,2,2,3,[0 0 0 1 0 1 0 1]
2,3,2,2,4,2,3,4,[0 0 1 1 0 1 0 0]
0,4,4,3,2,1,0,0,[0 0 0 1 0 0 0 1]
1,4,3,2,3,3,1,4,[0 0 0 1 0 1 1 0]
0,3,2,2,4,2,0,0,[0 0 0 0 0 0 1 0]
1,2,2,2,3,2,0,0,[0 1 0 1 0 0 1 0]
2,2,4,4,3,4,1,4,[0 0 1 1 0 1 0 0]
3,4,2,2,2,2,0,3,[0 1 0 0 0 1 0 1]
1,1,5,4,2,2,2,4,[1 1 0 0 0 1 0 0]
2,1,1,3,3,4,1,4,[0 0 0 1 1 0 1 0]
3,3,3,4,3,3,2,3,[0 1 0 1 0 1 0 0]
3,3,2,1,4,2,1,5,[0 0 1 0 0 1 1 0]
2,2,1,2,2,2,1,3,[0 0 0 0 0 1 0 1]
1,4,2,1,2,1,1,3,[0 0 0 0 0 1 1 1]
1,2,0,1,1,0,5,3,[0 0 0 0 0 1 0 0]
3,3,4,4,3,4,1,4,[0 1 0 1 0 1 0 0]
2,3,2,2,3,2,2,2,[0 1 1 0 0 0 1 0]
3,2,4,4,5,5,1,4,[0 0 1 0 1 0 1 0]
1,1,2,3,1,2,1,3,[0 1 0 1 0 0 1 0]
1,0,5,2,3,5,1,5,[1 0 0 0 0 0 0 0]
3,3,2,2,4,1,3,4,[0 1 1 0 0 1 0 0]
0,2,1,3,3,3,2,3,[0 0 0 1 1 0 1 0]
1,2,3,2,2,3,5,3,[0 1 1 0 0 1 0 0]
0,2,1,2,4,3,0,2,[0 0 1 1 0 0 0 1]
